"","phosphorus","nitrogen","carbon","shannon","FD","phylod","leafN","decomp","biomass"
"1",19.3089,11.0923,6.0888,19.1041,46.3079,221.7438,142.291,21.2499,27.5637
"2",19.935,14.4899,6.0068,17.8825,44.2448,222.0344,144.9708,24.5649,24.0181
"3",22.91,13.9352,5.7576,20.0616,43.9399,220.7629,142.3052,20.8182,27.3199
"4",18.2158,14.9894,3.8501,17.8923,44.3347,220.3194,139.961,17.001,21.5388
"5",19.5187,13.3574,7.1896,19.8603,45.2242,221.5143,142.7813,17.0609,26.9041
"6",21.3309,14.0016,4.344,16.5223,41.3401,219.7676,141.403,16.497,22.1008
"7",22.7135,11.0362,5.8032,18.9878,41.5182,218.1752,140.6142,14.1082,20.5452
"8",22.5574,15.3757,4.6106,17.3264,49.0848,222.2031,141.1847,20.1653,25.4535
"9",13.2699,11.9158,4.2215,20.0267,48.1832,224.9925,143.7155,23.8556,26.3578
"10",21.6107,15.0635,3.6887,18.0678,43.8679,222.5541,140.404,13.934,24.3041
"11",25.2978,18.2902,5.2223,16.9527,42.1423,220.0181,143.1572,15.7922,24.9895
"12",27.3247,18.5555,5.287,19.7824,50.8494,224.2051,142.9297,19.6829,26.9084
"13",19.5101,14.4654,5.9573,20.7825,49.9731,224.1843,147.6434,26.3694,29.2658
"14",26.3426,17.7454,7.2386,18.2196,48.6924,221.287,144.8672,21.0652,26.8871
"15",19.8627,16.8756,6.2846,19.2538,46.8412,222.2181,142.0765,22.5839,28.7631
"16",20.5677,12.1529,6.36,18.3507,42.8669,217.1974,142.6174,15.0064,23.6288
"17",21.0475,17.6859,5.6453,19.463,47.4635,221.0914,143.0529,21.2355,27.2282
"18",24.1213,16.8641,7.9565,18.1543,43.7223,222.0007,144.3536,15.6179,26.0334
"19",22.8445,12.9699,4.8078,18.418,45.8947,225.2157,146.642,21.3816,25.0218
"20",17.421,11.551,1.8416,18.7481,47.7693,221.3028,143.1906,19.363,22.5693
"21",19.6835,13.3732,2.6221,16.4876,41.274,219.0165,140.1782,16.4296,21.311
"22",20.8372,13.4749,6.2525,17.7553,41.6077,221.829,136.8552,18.4193,23.0368
"23",16.6322,14.2277,2.8941,15.0805,42.3681,220.8463,142.7726,23.1141,25.4972
"24",21.3443,15.4749,5.389,19.6283,47.3003,222.9913,144.9779,21.8612,25.7457
"25",23.517,13.5126,7.7679,19.0516,47.24,222.0928,145.0694,26.0199,24.0029
"26",18.3002,13.8634,3.3896,17.2113,49.2588,224.3701,142.3577,17.4122,23.1869
"27",26.5986,15.1061,6.7947,23.0477,47.8534,225.1083,143.494,18.8363,22.9595
"28",23.006,15.5267,6.9349,19.4309,45.3667,221.3173,140.7028,19.5642,24.5359
"29",23.0958,13.2534,6.0137,19.5701,47.8298,222.4441,142.8524,20.8715,24.7257
"30",23.9156,14.8528,4.4248,20.1536,49.4206,223.6626,141.9188,17.8463,26.9827
"31",20.6223,16.1298,7.1589,18.7308,47.8168,221.3551,147.1524,20.5297,23.0916
"32",21.936,12.964,5.3992,18.8162,49.3271,223.661,147.4108,21.3355,26.3755
"33",20.4538,12.5627,6.3896,20.5023,44.5434,224.4536,139.025,18.8884,23.1595
"34",27.8547,17.8183,6.0772,15.6173,42.5742,217.0948,142.5999,20.1448,24.0393
"35",27.8744,18.0918,6.2954,17.4922,41.4721,216.8573,140.5801,15.9139,21.6215
"36",20.5173,15.3572,3.5597,15.5136,39.8971,216.7542,138.6975,16.4937,21.5869
"37",23.2993,14.7861,4.5987,19.3725,47.6281,220.9939,146.0763,20.461,25.2611
"38",23.588,18.6133,8.6899,16.2787,43.5463,221.4188,144.8103,16.7858,28.3964
"39",17.1184,8.4323,3.296,19.4258,47.3993,222.4876,143.1483,21.2566,28.3176
"40",21.2108,17.2885,6.5923,17.5012,44.3289,218.7248,144.3407,20.3589,23.5518
"41",22.5311,16.6778,5.3959,18.9358,47.4167,221.8386,141.4018,20.5785,22.3899
"42",22.0646,15.546,4.6633,18.0885,46.5569,217.4249,144.3618,23.2058,25.3155
"43",25.0866,18.4902,5.0878,16.8925,45.2149,221.8235,144.9977,18.5832,26.6818
"44",17.735,12.7818,3.7544,15.4815,41.4094,214.3851,140.8261,12.8825,18.9448
"45",22.1526,16.608,5.9269,16.3416,41.9599,218.1985,139.0473,15.8683,20.1751
"46",25.3776,17.1064,6.1066,20.2534,45.358,220.8114,136.8569,20.7474,25.4119
"47",18.7358,19.0341,6.5355,19.0056,46.9709,220.9724,141.995,17.5418,22.58
"48",21.2123,16.6228,5.1081,17.0196,42.0896,217.8323,140.6547,20.1224,21.9982
"49",19.0007,19.8674,4.2458,15.9394,42.7214,219.9704,146.0285,15.9867,26.1856
"50",21.9237,13.7507,6.4237,17.2294,46.9002,219.0047,136.7444,14.388,20.5067
"51",13.7392,13.5103,4.1451,16.5611,41.8086,218.1794,140.2688,18.9384,22.7444
"52",19.7269,12.5199,5.0484,16.9013,44.0244,222.4851,140.9754,21.6408,25.7548
"53",23.2014,18.8573,8.0294,19.9684,48.3925,219.9891,140.9567,19.1811,24.4067
"54",14.6331,9.6079,3.0891,15.9991,43.4286,219.6649,141.6814,20.3942,21.233
"55",20.4824,15.3864,4.4746,19.4823,44.8546,222.1879,141.7172,21.3431,22.1704
"56",19.6973,15.2297,6.9598,16.2548,35.9614,216.006,142.071,16.4052,21.041
"57",21.9041,12.1523,7.3313,17.7556,43.5548,217.9947,140.1304,18.6805,21.6891
"58",19.1762,11.9686,5.3289,18.7299,49.4525,223.8236,143.7809,20.9496,26.5881
"59",17.0795,11.4473,2.6134,12.7275,40.9378,218.2227,139.9515,13.4092,22.5751
"60",25.7625,12.9633,5.8205,16.7129,43.7376,216.5128,139.7577,15.7493,20.3095
"61",21.6601,15.0085,6.433,18.1392,45.3488,223.1297,142.8076,20.8992,27.4581
"62",21.0343,18.344,8.0834,19.0546,40.2685,217.7077,139.4749,15.6176,21.9822
"63",20.9223,13.9343,4.9843,20.881,47.5741,221.9296,143.8595,15.6394,22.6275
"64",28.2788,17.9988,8.9339,14.9651,44.8797,221.8778,143.3469,18.88,21.3881
"65",21.5684,18.0752,8.4985,20.4117,48.8241,224.7508,143.9026,16.8659,25.4018
"66",18.5121,13.9446,5.6348,17.4983,43.8347,222.2678,145.7375,23.645,28.1442
"67",22.0072,14.5537,6.4433,17.4663,47.2938,221.4271,142.8008,23.8313,25.9079
"68",22.5753,12.8293,5.9181,17.1743,46.9152,222.6136,147.9263,22.6751,26.2832
"69",21.3065,15.4086,7.8327,17.5154,47.4003,220.1486,142.7102,13.8542,24.8635
"70",22.3277,12.7587,5.7196,18.1518,46.991,219.8607,144.8775,20.3661,24.2259
"71",20.0074,12.2122,3.2341,17.3052,44.6451,219.587,141.7065,14.7673,23.7069
"72",20.8273,11.7031,4.6302,17.2088,40.5013,220.478,142.0352,20.0784,21.228
"73",21.4476,17.9783,4.7107,17.7916,44.7829,220.4647,143.6315,16.4123,24.2561
"74",26.7526,16.1206,5.8936,17.1777,47.6112,219.8118,142.3081,16.762,27.2198
"75",26.2778,16.4393,7.0858,16.3876,46.4972,221.5632,146.2054,20.4722,29.4069
"76",16.1522,15.0024,3.8862,18.0889,48.0001,223.4572,143.0441,14.2842,21.806
"77",21.0834,13.0932,3.8017,18.1512,39.6773,217.2421,142.1646,17.5346,22.7697
"78",20.8841,15.1295,7.1319,19.557,53.5689,224.5273,152.4871,26.0903,28.1574
"79",25.3621,17.3367,7.9566,18.8272,46.9158,222.0796,146.3401,20.2149,23.3586
"80",14.2579,7.556,3.274,18.7619,46.8326,223.7082,147.8123,22.4974,23.8858
"81",19.8553,13.4863,5.9449,17.2471,42.1977,220.4052,142.7217,17.1049,23.8842
"82",20.2379,14.0352,6.4487,16.5741,42.7612,219.1892,140.0277,18.9028,22.8353
"83",17.8729,11.3935,6.019,15.0583,40.9901,217.6543,139.6332,8.9092,19.1077
"84",19.7735,14.1694,4.4564,19.2182,48.9909,223.356,141.5099,18.6437,21.3571
"85",16.8556,10.6235,3.9934,18.6059,42.8666,220.1175,142.9753,12.956,22.536
"86",21.2681,13.268,4.9978,23.2383,53.2508,227.7749,148.6027,28.0772,30.0152
"87",22.269,15.8897,7.3938,17.963,47.2783,218.8727,139.3511,16.3339,20.7314
"88",20.0306,14.1416,7.4749,16.9799,43.5145,219.5196,143.1864,18.9888,25.1653
"89",17.9927,12.2198,5.1351,19.0751,49.4705,224.5345,149.0048,28.6304,27.6846
"90",16.0123,13.038,2.8476,16.5791,41.28,218.9112,138.2855,14.6267,20.9903
"91",19.2423,18.5657,6.2508,19.1957,45.2042,222.0985,145.6381,19.8888,23.8324
"92",22.1599,16.8428,4.4575,17.1219,45.1194,222.7689,141.5164,19.8832,26.933
"93",19.5801,14.7302,5.5585,20.2982,47.2354,222.8575,142.6894,13.2136,20.4893
"94",20.1027,13.8191,4.8328,19.3235,47.2789,222.442,141.1165,15.8629,23.8921
"95",17.0434,14.5645,5.0704,17.9541,45.0647,222.0129,145.2452,20.7538,26.3294
"96",26.2449,15.6458,7.2835,18.1221,48.6498,220.8846,140.7507,18.3337,24.2421
"97",23.5098,15.0697,5.7545,18.6238,45.3753,220.352,147.5278,24.8911,24.6803
"98",19.6986,12.6447,4.8383,15.6595,41.4884,220.5929,143.7596,20.5382,26.146
"99",19.497,13.6552,7.6247,20.5426,47.8219,222.3382,141.775,24.2648,28.141
"100",20.212,15.1667,6.0094,15.1492,39.8615,217.0984,143.1549,17.1857,24.3705
"101",16.8501,12.8409,4.9318,16.7787,46.1104,221.0172,140.1541,19.2068,21.9601
"102",23.0685,13.1337,4.5325,15.8011,38.2423,218.3485,141.8247,14.5448,23.686
"103",22.6674,20.574,6.7482,20.0675,47.9044,220.7424,141.6715,17.531,22.0546
"104",27.4179,18.6786,5.0536,19.5458,47.9615,222.7002,139.6235,18.9475,21.7771
"105",25.657,12.186,7.3892,15.0466,40.4414,218.9488,140.9969,17.5835,18.7288
"106",29.1948,18.1941,7.9598,18.0114,42.361,218.7147,142.0037,18.5027,21.8717
"107",18.0351,11.5493,5.7638,15.3234,43.3076,218.2242,134.1852,9.8212,18.3483
"108",22.1141,15.7468,5.9016,18.8787,48.7503,220.3597,142.2222,21.1072,25.8394
"109",22.7677,15.924,5.8677,16.9961,44.8612,218.6281,140.6001,21.8403,20.9053
"110",24.4937,16.1043,5.0514,17.9765,45.2938,224.0144,141.5242,16.1021,22.4188
"111",20.8012,14.9421,5.8252,18.8053,48.0145,221.6015,143.6847,23.5991,24.994
"112",24.8036,16.2581,7.1864,16.5484,47.4089,222.2569,139.7223,20.6148,22.187
"113",20.8508,14.0393,6.9268,16.565,42.3339,219.3523,139.6185,17.715,18.336
"114",19.6182,13.9979,5.1073,18.665,42.8678,221.2975,141.7358,16.5816,22.7978
"115",22.7708,17.5051,7.4715,18.5649,45.3865,221.506,145.2467,18.7327,23.7675
"116",21.0106,15.2851,6.4153,18.1166,42.698,219.5252,143.4965,19.7279,23.8635
"117",21.679,16.6066,6.4138,17.4515,41.1586,218.2711,140.505,12.2337,19.3668
"118",21.4072,16.4411,5.548,14.4949,37.8005,214.1089,136.8742,7.7593,20.417
"119",24.9765,19.6597,5.097,19.1507,46.6566,220.5685,139.5791,17.6803,25.4337
"120",19.3545,15.712,3.1613,16.6912,42.2605,222.0292,145.3327,21.769,24.2942
"121",25.2428,17.3459,8.6192,17.5411,43.6287,223.2366,138.4245,17.5787,20.7503
"122",20.6156,13.1828,6.1382,19.5573,46.2091,221.8022,143.3596,15.8672,22.4266
"123",21.4737,15.7592,4.6868,18.8264,44.8831,222.5694,139.0226,22.6893,24.6311
"124",15.6448,14.6491,4.2284,17.8487,44.4944,220.0154,143.3877,14.5602,23.1183
"125",17.6083,8.8544,4.701,18.2295,45.9366,222.1867,151.6164,25.4295,27.6962
"126",19.2578,14.4314,5.1731,15.4929,41.6737,219.032,134.7028,12.2359,17.2795
"127",23.4006,15.815,6.9777,19.3074,47.5266,223.7131,145.5126,20.3746,28.7631
"128",21.7884,16.6524,6.5557,20.7223,50.2437,223.5807,141.2131,17.4237,26.665
"129",24.1418,14.8641,5.5825,17.9901,45.2484,223.1057,144.4598,16.0398,24.628
"130",27.2793,14.422,7.332,17.251,44.8505,220.1718,141.1465,18.6605,21.6269
"131",18.9859,12.9872,4.6506,16.78,44.6636,221.2431,143.9295,15.4967,25.8971
"132",27.0823,17.2733,9.0547,16.9459,43.7041,220.9807,139.9763,17.2759,25.1366
"133",21.537,13.9054,4.4749,18.1663,46.0341,222.0869,141.0679,18.6104,24.5099
"134",20.5896,12.5804,6.5281,19.7467,49.7765,221.203,141.9599,23.4383,25.6444
"135",21.8757,14.749,5.6626,16.4116,46.2529,221.0174,145.1068,19.6363,23.8188
"136",23.4624,16.2834,6.5738,16.9541,47.1471,220.0653,145.2936,22.0032,26.3411
"137",18.6859,14.4948,2.2585,17.9822,44.1754,218.9595,140.4103,15.5137,23.2064
"138",21.7084,14.586,7.4671,18.7744,42.8885,219.1913,143.4513,14.487,21.519
"139",23.8887,17.3276,6.4846,17.9067,46.7246,221.0839,139.5472,14.6537,23.026
"140",22.8377,15.267,8.3182,18.7015,47.9816,219.5467,138.6415,17.1237,22.7886
"141",23.4459,16.3845,5.706,17.5856,42.8016,216.968,141.9485,18.7576,23.5129
"142",20.6751,15.3038,6.1274,16.5643,43.595,219.5743,142.9908,9.2768,23.017
"143",17.992,12.9686,4.8009,16.9053,43.1928,221.0127,142.5623,16.484,20.5918
"144",20.929,12.8551,3.4398,18.078,44.7596,218.6512,138.9173,18.0745,24.8025
"145",23.352,15.9463,4.0898,19.985,47.9662,219.7533,144.9631,17.4495,22.881
"146",20.9472,14.0077,5.3096,18.1607,46.7622,219.1815,146.9121,22.9804,24.1953
"147",22.3786,14.8145,6.5832,19.453,43.0558,220.8417,140.4309,11.7876,16.6589
"148",22.7888,19.4442,6.5244,18.4332,48.0269,221.7683,143.8241,24.1401,24.5859
"149",26.2711,14.2648,4.0396,14.7645,41.3383,218.626,144.2407,12.5558,18.3182
"150",17.158,15.0914,4.2685,14.0476,36.2103,213.363,138.3615,12.2038,18.4872
"151",23.3835,17.3219,7.163,19.2313,45.8382,220.8077,143.9345,20.3412,25.1661
"152",23.2338,14.0972,7.5257,18.7255,46.0501,223.7253,145.0705,26.9649,25.6964
"153",19.7874,9.8473,4.6359,20.4701,44.4465,222.2935,139.9968,16.0394,24.8304
"154",28.7878,21.968,8.1725,17.15,42.7144,218.3289,143.2164,16.2515,24.0765
"155",18.6931,11.4625,2.4736,16.247,41.3348,218.2907,137.6479,11.0518,20.7664
"156",22.7335,18.4634,6.7024,18.1479,45.24,222.1252,146.2042,21.9365,22.8944
"157",15.2705,12.0984,5.552,20.1353,47.8801,222.6558,145.2941,22.7514,25.8497
"158",23.2504,13.0171,5.5331,16.7494,47.0061,218.7274,137.891,18.9575,23.9757
"159",21.8343,15.5439,6.324,17.2508,43.5573,221.268,139.5161,17.7051,23.9424
"160",25.5222,17.1555,7.3066,16.6119,43.1821,218.284,139.9138,13.5017,21.8521
"161",19.5595,13.3046,5.033,18.2145,43.2449,219.5644,143.5302,15.3738,21.5025
"162",22.2607,13.867,5.2369,17.7684,43.2148,218.9319,140.6485,17.2245,20.3722
"163",21.4389,12.6666,6.3936,16.197,42.1751,223.651,143.9108,21.5272,23.161
"164",23.9537,18.9343,6.0102,18.8762,47.141,223.3433,144.899,22.3672,28.0067
"165",23.5782,13.6734,6.4388,17.6642,46.5229,220.2898,148.6524,23.2642,28.0172
"166",22.126,17.6412,8.62,17.8036,45.3488,221.6073,142.1323,22.7829,24.1274
"167",20.2991,13.1154,2.9523,16.2244,36.6661,217.917,136.576,14.778,22.0256
"168",28.1792,20.6584,8.8744,18.3384,47.6955,221.7337,144.6191,20.6696,23.6318
"169",16.584,10.1106,3.8371,14.6534,37.8345,216.6787,137.5172,13.2467,21.9872
"170",20.7541,14.4572,4.0394,16.7512,42.4447,219.9875,144.5957,21.1727,24.6937
"171",19.8174,14.5016,4.7271,17.9397,46.7805,221.2514,141.6587,17.1902,21.9101
"172",21.9403,15.8294,6.7388,20.5562,47.6147,223.1977,145.1425,18.0472,24.747
"173",21.2274,16.1174,7.7564,18.6131,47.3909,221.4461,141.4523,18.6023,23.2829
"174",20.954,17.4938,8.5515,22.738,51.4486,227.1121,147.3435,23.556,27.4644
"175",21.8757,16.8211,6.1084,19.8545,46.0779,222.0043,144.1445,19.7682,23.4747
"176",18.0548,9.9302,5.6606,17.5753,45.017,218.7499,138.5233,18.1311,24.8635
"177",15.3365,10.9866,4.7931,17.6166,41.6788,220.5972,140.113,16.8715,23.5362
"178",24.8333,13.8434,5.9503,17.9394,45.8026,217.8711,140.8318,15.0768,22.6558
"179",21.1528,15.7964,4.6246,18.7095,41.1089,221.2197,147.2626,20.1628,24.4973
"180",23.4127,13.4737,8.0254,17.3516,43.1155,219.9645,141.4873,16.2926,20.7902
"181",17.9714,9.5441,4.7455,17.6322,47.3843,221.4171,143.1858,20.6465,23.3696
"182",19.9833,19.0454,5.9802,19.1826,43.3433,224.3751,149.7647,23.8975,28.3694
"183",17.6739,10.1448,3.7427,16.1099,41.0615,218.6762,141.3769,20.1657,24.145
"184",20.3956,16.5868,5.8089,20.7116,48.7956,223.1742,147.3367,24.1432,27.8444
"185",18.8105,16.4644,7.0782,18.0146,47.1219,220.998,146.7182,19.894,25.6034
"186",21.179,15.9337,6.1735,20.0057,50.3387,223.3115,146.7909,27.019,29.668
"187",20.8184,18.4372,6.7032,17.6775,47.4284,221.2105,145.2001,20.0873,24.1806
"188",24.705,17.5292,7.517,17.9366,42.0941,222.9875,142.4528,16.2433,24.5486
"189",23.3985,17.7436,8.5341,17.9924,43.8682,221.5186,142.7294,21.4417,26.2747
"190",20.0943,12.7159,7.4918,17.1403,44.7743,221.7319,141.0639,17.7543,18.8297
"191",23.5382,20.1852,6.5935,17.8036,43.5648,222.193,141.1746,15.1714,21.2825
"192",23.5956,12.871,7.6005,18.1234,46.1639,222.5328,145.0206,17.0675,23.5104
"193",29.1038,21.171,7.662,19.3899,47.2172,221.5977,145.3963,19.7089,26.186
"194",30.021,17.0876,9.0302,20.9292,48.0895,224.2909,146.8499,22.3197,26.1828
"195",21.6158,13.4438,4.7994,18.9014,47.3251,223.1309,140.6168,19.1707,24.5012
"196",26.4523,10.5331,5.9505,19.1695,47.4301,225.098,141.8894,22.6753,25.3414
"197",18.8927,16.2562,5.6495,18.6492,45.4755,222.1371,146.1379,24.9451,29.8256
"198",22.9824,15.449,4.8788,19.1775,47.8254,225.0301,139.668,15.8878,22.6947
"199",21.752,17.6579,7.6414,17.8615,43.5818,219.9937,142.8483,19.625,24.7031
"200",19.0338,10.6237,3.0407,18.5227,44.9294,221.9407,140.9413,16.5064,23.0379
"201",24.9863,18.0605,6.4491,18.1517,41.0659,221.0838,138.9209,17.927,20.374
"202",18.7259,14.2851,4.0484,20.6221,45.5472,223.2493,141.333,20.1668,23.8238
"203",21.81,16.0624,6.0884,19.3341,48.3471,222.7857,144.7137,26.3091,30.3054
"204",17.2082,12.5452,6.3059,16.9136,49.8242,225.3513,147.2191,21.6211,24.4958
"205",28.4241,16.8375,6.9995,16.0062,46.2839,222.692,142.9789,21.0508,18.7503
"206",19.7385,14.7628,6.2677,17.1614,42.7753,217.9148,142.4445,15.2895,22.0972
"207",23.7484,14.626,6.0952,20.9289,50.3174,223.8918,146.7031,25.3222,24.9075
"208",24.2258,13.2586,6.1074,18.588,37.4158,216.2063,135.7397,14.4698,20.3209
"209",15.6631,13.4175,5.2551,20.7105,46.2768,222.1805,148.4511,18.9694,24.7094
"210",21.3034,14.3805,4.6435,16.3522,42.2867,221.2721,142.9377,20.382,26.6292
